Decomposition & iter & cols u & cols t & CPU & CPUmp & CPUpp & LB & gap & \\ \hline  % 10_24_1_3_0_1_0
&&&&&&&&&
Time  &21&0&297&0.844076&0.151643&0.646765&178290&1.49039&  \\ 
Time 2  &20&0&328&1.35755&0.154117&0.107054&178290&1.49039&  \\ 
Time 2 pmax  &20&0&295&1.32056&0.102796&0.108024&178290&1.49039&  \\ 
Switch 0.  &131&0&2493&58.3293&12.9732&53.1116&179796&0.65792&  \\ 
Switch >= 0.  &170&0&2620&91.4181&20.2792&85.5076&179796&0.65792&  \\ 
Switch 0.25  &102&0&1990&45.7051&6.94848&42.4252&179796&0.65792&  \\ 
Switch >= 0.25  &80&0&1469&35.2687&6.83288&33.2911&179796&0.65792&  \\ 
Switch 0.5  &115&0&1990&53.5037&8.43747&49.9296&179796&0.65792&  \\ 
Switch >= 0.5  &75&0&1416&36.7967&5.4863&34.8784&179796&0.65792&  \\ 
Switch 0.75  &98&0&1839&40.9213&6.43925&38.1051&179796&0.65792&  \\ 
Switch >= 0.75  &80&0&1531&35.7572&6.44061&33.6408&179796&0.65792&  \\ 
Switch 1. &90&0&1842&34.9444&5.98745&32.1347&179796&0.65792&  \\ 
Switch >= 1. &74&0&1447&29.083&6.03193&27.1821&179796&0.65792&  \\ 
Overlapping  &43&348&592&6.24969&0&0&178290&1.49039&  \\  \hline 
 Unit  &43&310&0&3.45184&0.133926&3.22008&148921&7.81582&  \\ 
Time  &14&0&249&0.561133&0.116076&0.409354&159866&1.04025&  \\ 
Time 2  &17&0&304&1.17394&0.137764&0.090464&159866&1.04025&  \\ 
Time 2 pmax  &13&0&234&0.86631&0.074334&0.06939&159866&1.04025&  \\ 
Switch 0.  &131&0&2567&63.2118&14.8166&57.2429&161230&0.196434&  \\ 
Switch >= 0.  &134&0&2378&70.7315&14.767&66.1659&161230&0.196434&  \\ 
Switch 0.25  &103&0&1998&55.0301&8.93455&51.9291&161230&0.196434&  \\ 
Switch >= 0.25  &72&0&1448&28.3268&6.04902&26.3949&161230&0.196434&  \\ 
Switch 0.5  &99&0&1894&44.1513&6.11489&41.4205&161230&0.196434&  \\ 
Switch >= 0.5  &72&0&1467&28.0275&5.02848&26.1744&161230&0.196434&  \\ 
Switch 0.75  &100&0&1990&46.9444&8.54649&43.3085&161230&0.196434&  \\ 
Switch >= 0.75  &73&0&1445&30.2364&4.75737&28.3962&161230&0.196434&  \\ 
Switch 1. &102&0&1979&47.7806&8.1342&44.7444&161230&0.196434&  \\ 
Switch >= 1. &73&0&1436&30.4344&5.19247&28.745&161230&0.196434&  \\ 
Overlapping  &48&391&597&6.62955&0&0&159866&1.04025&  \\  \hline 
 Unit  &32&245&0&2.39877&0.085061&2.24679&98863.2&10.7967&  \\ 
Time  &13&0&206&0.47023&0.087641&0.351728&109788&0.939398&  \\ 
Time 2  &22&0&317&1.44149&0.113569&0.115136&109788&0.939398&  \\ 
Time 2 pmax  &13&0&202&0.827139&0.04352&0.068224&109788&0.939398&  \\ 
Switch 0.  &126&0&2526&35.6614&4.58696&31.177&110816&0.0117298&  \\ 
Switch >= 0.  &155&0&2651&44.1458&4.97606&39.2459&110816&0.0117298&  \\ 
Switch 0.25  &94&0&1869&29.8354&2.41515&27.4918&110816&0.0117298&  \\ 
Switch >= 0.25  &74&0&1288&18.8735&1.67953&17.5079&110816&0.0117298&  \\ 
Switch 0.5  &109&0&1969&36.7426&2.602&34.237&110816&0.0117298&  \\ 
Switch >= 0.5  &77&0&1292&19.5781&1.70428&18.1963&110816&0.0117298&  \\ 
Switch 0.75  &100&0&1970&29.6839&2.89707&26.8357&110816&0.0117298&  \\ 
Switch >= 0.75  &62&0&1145&12.4522&1.24465&11.4254&110816&0.0117298&  \\ 
Switch 1. &98&0&1931&31.1887&2.9415&28.3673&110816&0.0117298&  \\ 
Switch >= 1. &63&0&1225&13.932&1.64185&12.7956&110816&0.0117298&  \\ 
Overlapping  &44&336&632&6.29923&0&0&109788&0.939398&  \\  \hline 
 Unit  &37&305&0&3.08646&0.128021&2.87026&155749&8.04138&  \\ 
Time  &19&0&296&0.729993&0.143581&0.542925&167076&1.35389&  \\ 
Time 2  &19&0&344&1.31413&0.172022&0.097209&167076&1.35389&  \\ 
Time 2 pmax  &18&0&310&1.2127&0.114989&0.094073&167076&1.35389&  \\ 
Switch 0.  &134&0&2584&50.6356&9.77153&44.4973&168973&0.233576&  \\ 
Switch >= 0.  &136&0&2346&54.4676&7.6575&49.6418&168973&0.233576&  \\ 
Switch 0.25  &105&0&2032&35.7413&5.57213&31.8002&168973&0.233576&  \\ 
Switch >= 0.25  &80&0&1483&29.0258&4.69139&26.9331&168973&0.233576&  \\ 
Switch 0.5  &93&0&1958&28.3158&4.31801&24.8791&168973&0.233576&  \\ 
Switch >= 0.5  &67&0&1355&19.6703&2.5759&17.7874&168973&0.233576&  \\ 
Switch 0.75  &107&0&1981&41.5346&5.0437&38.0141&168973&0.233576&  \\ 
Switch >= 0.75  &70&0&1417&21.2305&2.55101&19.2737&168973&0.233576&  \\ 
Switch 1. &111&0&2015&39.4968&8.51155&35.6817&168973&0.233576&  \\ 
Switch >= 1. &75&0&1478&22.3567&3.08565&20.2064&168973&0.233576&  \\ 
Overlapping  &41&347&631&5.62248&0&0&167076&1.35389&  \\  \hline 
 Unit  &38&316&0&2.83155&0.131344&2.62049&143341&9.30587&  \\ 
Time  &15&0&238&0.569959&0.112088&0.423436&154334&2.35059&  \\ 
Time 2  &20&0&286&1.35513&0.133313&0.123612&154334&2.35059&  \\ 
Time 2 pmax  &15&0&242&0.989092&0.069839&0.089469&154334&2.35059&  \\ 
Switch 0.  &124&0&2499&58.7108&10.7687&52.1673&156778&0.804231&  \\ 
Switch >= 0.  &120&0&2132&60.4743&5.90397&56.1796&156778&0.804231&  \\ 
Switch 0.25  &91&0&1826&40.2114&4.69364&37.3825&156778&0.804231&  \\ 
Switch >= 0.25  &83&0&1511&40.6359&3.58913&38.4527&156778&0.804231&  \\ 
Switch 0.5  &92&0&1854&37.7328&4.38783&34.8038&156778&0.804231&  \\ 
Switch >= 0.5  &77&0&1500&36.7113&3.06581&34.583&156778&0.804231&  \\ 
Switch 0.75  &94&0&1910&44.7977&5.5321&41.5968&156778&0.804231&  \\ 
Switch >= 0.75  &73&0&1439&35.8459&5.43036&33.8967&156778&0.804231&  \\ 
Switch 1. &95&0&1983&46.0372&5.72251&42.6936&156778&0.804231&  \\ 
Switch >= 1. &82&0&1517&40.1617&3.46344&38.0023&156778&0.804231&  \\ 
Overlapping  &44&332&595&6.55301&0&0&154334&2.35059&  \\  \hline 
 Unit  &37&304&0&2.69351&0.124232&2.4955&115743&7.34565&  \\ 
Time  &10&0&185&0.351259&0.082628&0.245269&124183&0.589222&  \\ 
Time 2  &17&0&265&1.10043&0.083579&0.087483&124183&0.589222&  \\ 
Time 2 pmax  &11&0&187&0.701381&0.0321&0.05928&124183&0.589222&  \\ 
Switch 0.  &114&0&2325&46.7876&6.72358&41.8331&124863&0.0451292&  \\ 
Switch >= 0.  &111&0&2212&38.9265&3.68822&35.7793&124863&0.0451292&  \\ 
Switch 0.25  &110&0&2048&47.0139&4.63638&43.5736&124863&0.0451292&  \\ 
Switch >= 0.25  &62&0&1196&18.5847&1.41503&17.4535&124863&0.0451292&  \\ 
Switch 0.5  &96&0&1957&42.6367&3.23802&40.0626&124863&0.0451292&  \\ 
Switch >= 0.5  &81&0&1261&34.0246&2.73431&32.6421&124863&0.0451292&  \\ 
Switch 0.75  &97&0&1890&45.9466&3.9327&42.8502&124863&0.0451292&  \\ 
