Decomposition & iter & cols u & cols t & CPU & CPUmp & CPUpp & LB & gap & \\ \hline  % 20_48_1_3_0_0_0
&&&&&&&&&
Time  &83&0&2326&104.084&6.50628&96.6543&2007640&-1.15972E-14&  \\ 
Time 2  &43&0&1286&11.6&5.74249&0.510177&2007240&0.0201505&  \\ 
Time 2 pmax  &48&0&1255&10.238&3.66986&0.568815&2007240&0.0201505&  \\ 
Time 2 pmin  &54&0&1299&11.365&3.9257&0.651989&2007240&0.0201505&  \\  \hline 
 Unit  &22&218&0&3.0279&0.142234&2.79885&2038140&0.221855&  \\ 
Time  &113&0&3116&246.467&9.89564&235.199&2042530&0.00689048&  \\ 
Time 2  &71&0&1710&22.4321&6.86452&1.27152&2042090&0.0286035&  \\ 
Time 2 pmax  &60&0&1526&13.1305&4.67101&0.732578&2042090&0.0286035&  \\ 
Time 2 pmin  &63&0&1712&15.9999&7.14663&0.7648&2042090&0.0286035&  \\  \hline 
 Unit  &51&197&0&5.65353&0.1674&5.33275&2110800&0.172623&  \\ 
Time  &103&0&3166&215.278&17.0834&196.961&2114450&0&  \\ 
Time 2  &66&0&1670&20.4164&10.8752&0.815356&2113820&0.0300447&  \\ 
Time 2 pmax  &64&0&1726&19.9193&10.839&0.792653&2113820&0.0300447&  \\ 
Time 2 pmin  &58&0&1775&24.0038&15.7893&0.716297&2113820&0.0300447&  \\  \hline 
 Unit  &20&190&0&2.73835&0.124759&2.5339&1847280&0.0838089&  \\ 
Time  &97&0&2638&141.573&9.16427&131.315&1848830&-1.25934E-14&  \\ 
Time 2  &42&0&1241&11.3214&5.58831&0.516506&1848770&0.00314637&  \\ 
Time 2 pmax  &42&0&1230&9.67319&3.86671&0.521819&1848770&0.00314637&  \\ 
Time 2 pmin  &40&0&1259&9.93737&4.46863&0.493606&1848770&0.00314637&  \\  \hline 
 Unit  &22&181&0&2.65344&0.137103&2.42932&1801550&0.0699347&  \\ 
Time  &94&0&2440&117.836&6.30896&110.504&1802780&0.00146068&  \\ 
Time 2  &59&0&1403&11.7972&3.64631&0.698846&1802530&0.0156838&  \\ 
Time 2 pmax  &63&0&1423&12.7409&3.97717&0.730562&1802530&0.0156838&  \\ 
Time 2 pmin  &64&0&1360&12.1434&3.27591&0.754398&1802530&0.0156838&  \\  \hline 
 Unit  &16&155&0&2.27156&0.132192&2.0803&1888540&0.118308&  \\ 
Time  &118&0&3373&216.157&18.12&196.652&1890780&-2.4628E-14&  \\ 
Time 2  &67&0&1840&22.1957&12.3227&0.804491&1890710&0.00358495&  \\ 
Time 2 pmax  &53&0&1675&16.6088&9.08861&0.634314&1890710&0.00358495&  \\ 
Time 2 pmin  &57&0&1653&18.1929&10.2195&0.67595&1890710&0.00358495&  \\  \hline 
 Unit  &72&254&0&9.61076&0.237922&9.12335&1902840&0.140308&  \\ 
Time  &111&0&3096&201.988&12.4581&188.216&1905510&0&  \\ 
Time 2  &71&0&1652&18.7099&8.31278&0.846466&1904910&0.0318616&  \\ 
Time 2 pmax  &66&0&1783&18.7754&9.42408&0.763532&1904910&0.0318616&  \\ 
Time 2 pmin  &67&0&1750&19.7594&10.3493&0.782959&1904910&0.0318616&  \\  \hline 
 Unit  &70&290&0&9.329&0.217067&8.87158&2236620&0.190572&  \\ 
Time  &117&0&3639&243.819&26.0471&216.254&2240890&0&  \\ 
Time 2  &68&0&2055&28.2833&15.8577&1.05689&2240500&0.0174486&  \\ 
Time 2 pmax  &82&0&2040&28.6941&15.9601&1.09866&2240500&0.0174486&  \\ 
Time 2 pmin  &85&0&2163&35.6469&21.9349&1.18129&2240500&0.0174486&  \\  \hline 
 Unit  &42.45&213.1&0&5.4675145&0.17130335&5.1334365&2035124&0.132851705&  \\ 
Time  &103.05&0&2797.35&197.364&10.222766&185.923415&2037772&0.001345422&  \\ 
Time 2  &58.5&0&1533.8&15.876853&7.0363945&0.74447055&2037381&0.020766948&  \\ 
Time 2 pmax  &55.3&0&1491.1&13.9549175&6.1649705&0.66701555&2037381&0.020766948&  \\ 
Time 2 pmin  &58.2&0&1519.05&15.354154&7.1442165&0.7043991&2037381&0.020766948&  \\  \hline 
&&&&&&&&&
 Unit  &46.625&211.375&0&5.9229075&0.1742105&5.5614375&2041673.75&0.1295155625&
Time  &107.625&0&2785.25&228.92175&8.68048375&218.983125&2044187.5&0.00231966&
